1 act/public/1973/0005	Rates Rebate Act 1973	Income Tax Act 2007
1 act/public/1973/0005	Rates Rebate Act 1973	Social Security Act 2018
1 act/public/1985/0141	Goods and Services Tax Act 1985	Social Security Act 2018
20 act/public/1985/0141	Goods and Services Tax Act 1985	Income Tax Act 2007
3 act/public/1985/0141	Goods and Services Tax Act 1985	Accident Compensation Act 2001
2 act/public/1987/0129	Parental Leave and Employment Protection Act 1987	Accident Compensation Act 2001
4 act/public/1987/0129	Parental Leave and Employment Protection Act 1987	Income Tax Act 2007
13 act/public/1991/0142	Child Support Act 1991	Income Tax Act 2007
8 act/public/1991/0142	Child Support Act 1991	Social Security Act 2018
13 act/public/1992/0076	Public and Community Housing Management Act 1992	Social Security Act 2018
2 act/public/1992/0076	Public and Community Housing Management Act 1992	Income Tax Act 2007
3 act/public/1992/0076	Public and Community Housing Management Act 1992	Accident Compensation Act 2001
13 act/public/1994/0166	Tax Administration Act 1994	Accident Compensation Act 2001
261 act/public/1994/0166	Tax Administration Act 1994	Income Tax Act 2007
18 act/public/2001/0049	Accident Compensation Act 2001	Income Tax Act 2007
5 act/public/2001/0049	Accident Compensation Act 2001	Social Security Act 2018
2 act/public/2001/0084	New Zealand Superannuation and Retirement Income Act 2001	Accident Compensation Act 2001
20 act/public/2001/0084	New Zealand Superannuation and Retirement Income Act 2001	Social Security Act 2018
3 act/public/2001/0084	New Zealand Superannuation and Retirement Income Act 2001	Income Tax Act 2007
1 act/public/2006/0040	KiwiSaver Act 2006	Accident Compensation Act 2001
1 act/public/2006/0040	KiwiSaver Act 2006	Social Security Act 2018
29 act/public/2006/0040	KiwiSaver Act 2006	Income Tax Act 2007
10 act/public/2007/0097	Income Tax Act 2007	Social Security Act 2018
18 act/public/2007/0097	Income Tax Act 2007	Accident Compensation Act 2001
2 act/public/2009/0051	Immigration Act 2009	Social Security Act 2018
15 act/public/2011/0062	Student Loan Scheme Act 2011	Income Tax Act 2007
3 act/public/2011/0062	Student Loan Scheme Act 2011	Social Security Act 2018
2 act/public/2018/0004	Customs and Excise Act 2018	Income Tax Act 2007
3 act/public/2018/0004	Customs and Excise Act 2018	Accident Compensation Act 2001
3 act/public/2018/0004	Customs and Excise Act 2018	Social Security Act 2018
10 act/public/2018/0032	Social Security Act 2018	Income Tax Act 2007
16 act/public/2018/0032	Social Security Act 2018	Accident Compensation Act 2001
18 act/public/2026/0008	Taxation (Annual Rates for 2025–26, Compliance Simplification, and Remedial Measures) Act 2026	Income Tax Act 2007
2 act/public/2026/0008	Taxation (Annual Rates for 2025–26, Compliance Simplification, and Remedial Measures) Act 2026	Accident Compensation Act 2001
1 regulation/public/1993/0169	Health Entitlement Cards Regulations 1993	Accident Compensation Act 2001
2 regulation/public/1993/0169	Health Entitlement Cards Regulations 1993	Income Tax Act 2007
4 regulation/public/1993/0169	Health Entitlement Cards Regulations 1993	Social Security Act 2018
1 regulation/public/1998/0277	Student Allowances Regulations 1998	Accident Compensation Act 2001
1 regulation/public/1998/0277	Student Allowances Regulations 1998	Income Tax Act 2007
3 regulation/public/1998/0277	Student Allowances Regulations 1998	Social Security Act 2018
11 regulation/public/2018/0202	Social Security Regulations 2018	Income Tax Act 2007
2 regulation/public/2018/0202	Social Security Regulations 2018	Social Security Act 2018
4 regulation/public/2018/0202	Social Security Regulations 2018	Accident Compensation Act 2001
1 regulation/public/2025/0018	Accident Compensation (Earners’ Levy) Regulations 2025	Accident Compensation Act 2001
4 regulation/public/2026/0036	Social Security (Rates of Benefits and Allowances) Order 2026	Social Security Act 2018
