taxsimid,year,state,mstat,page,sage,depx,pwages,psemp,swages,ssemp,dividends,intrec,stcg,ltcg,otherprop,nonprop,pensions,gssi,pui,sui,transfers,rentpaid,proptax,otheritem,childcare,mortgage,scorp,idtl,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11
88052,2025,1,1,85,0,0,0.0,-24784772.0,0.0,0.0,0.0,0.0,-1521430.75,-438936.84375,0,0,0.0,817.2284644194756,1.1333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,-4117041.0,2,,,,,,,,,,,
88053,2025,1,1,49,0,0,43684.51953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88054,2025,1,1,69,0,0,0.0,0.0,0.0,0.0,0.0,40.41845703125,0.0,0.0,0,0,6295.4267578125,37682.40449438202,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88055,2025,1,1,53,0,0,232786.25,44023.078125,0.0,0.0,28209.28515625,3021.27978515625,0.0,240961.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,247715.5625,2,,,,,,,,,,,
88056,2025,1,2,62,61,0,652506.1875,67352.59375,5657.69482421875,0.0,97214.0078125,41890.33203125,-10.945213317871094,213211.28125,0,0,29009.912109375,0.0,1360.0,0.0,0,0.0,0.0,0,0.0,0.0,416942.875,2,,,,,,,,,,,
88057,2025,1,2,28,27,2,143992.859375,211828.09375,3861.18408203125,0.0,7079.53369140625,1547.9935302734375,0.0,56399.9296875,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,20787.848101265823,0.0,496034.40625,2,4.0,1.0,,,,,,,,,
88058,2025,1,1,66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-433.9196472167969,-108.47991180419922,0,0,0.0,10051.91011235955,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88059,2025,1,2,34,32,1,64029.31640625,0.0,60566.703124999985,0.0,117.63349914550744,50.633449077606194,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,649.620253164557,0.0,3145.084228515598,2,4.0,,,,,,,,,,
88060,2025,1,1,68,0,0,0.0,0.0,0.0,0.0,1567.1824951171875,323.34765625,0.0,0.0,0,0,4515.01953125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88061,2025,1,2,71,73,0,0.0,0.0,113841.0078125,0.0,20009.486328125,12455.405273437498,-5.799521446228027,249621.93749999927,0,0,32503.583984374884,18369.252808988764,0.0,0.0,0,0.0,0.0,0,0.0,0.0,72674.30468749987,2,,,,,,,,,,,
