taxsimid,year,state,fiitax,siitax,fica,tfica,v10,v11,v12,v13,v14,v17,qbid,niit,v18,v19,v22,v24,v25,v26,v27,v28,v29,v32,v34,v35,v36,srebate,v37,v38,v39,v40,v42,v43,v44,actc,cares,frate,srate,pe_al_agi,pe_al_standard_deduction,pe_al_itemized_deductions,pe_al_deductions,pe_al_federal_income_tax_deduction,pe_al_personal_exemption,pe_al_dependent_exemption,pe_al_retirement_exemption,pe_al_taxable_income,pe_al_income_tax_before_non_refundable_credits,pe_al_non_refundable_credits,pe_al_income_tax_before_refundable_credits,pe_al_refundable_credits,pe_al_income_tax,pe_adjusted_gross_income,pe_income_tax_before_credits,pe_income_tax_capped_non_refundable_credits,pe_net_investment_income_tax,pe_income_tax_before_refundable_credits,pe_eitc,pe_american_opportunity_credit,pe_refundable_ctc,pe_income_tax_refundable_credits,pe_income_tax,pe_recapture_of_investment_credit,pe_unreported_payroll_tax,pe_qualified_retirement_penalty,pe_tax_unit_taxable_social_security,pe_tax_unit_social_security,pe_taxable_pension_income
88052,2025,1,0.0,0.0,0.0,0.0,-307998.88,1.13,0.0,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,-30862180.0,3000.0,4.9379485e+06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.086218e+07,3000.0,4.9379485e+06,4.9394485e+06,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-307998.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.22845,0.0
88053,2025,1,3113.64,1746.45,6683.73,3341.87,43684.52,0.0,0.0,15750.0,0.0,1994.23,0.0,0.0,27934.52,3113.64,0.0,0.0,0.0,43684.52,0.0,3113.64,3341.87,43684.52,2500.0,3341.87,35729.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.43,0.0,0.0,12.0,4.0175,43684.52,2500.0,3341.8657,7955.508,3113.6423,1500.0,0.0,0.0,35729.01,1746.4506,0.0,1746.4506,0.0,1746.4506,43684.52,3113.6423,0.0,0.0,3113.6423,0.0,0.0,0.0,0.0,3113.6423,0.0,0.0,0.0,0.0,0.0,0.0
88054,2025,1,0.0,0.0,0.0,0.0,6424.37,0.0,88.52,17750.0,0.0,785.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,335.85,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.8452,3000.0,0.0,4500.0,0.0,1500.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,6424.3696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.524414,37682.406,6295.4267578125
88055,2025,1,188245.31,29501.88,30427.18,16133.58,796126.94,0.0,0.0,15750.0,0.0,10000.0,58229.82,10343.28,722147.1,128089.15,0.0,0.0,0.0,737897.1,0.0,177902.05,16133.58,796716.44,2500.0,16133.58,590837.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4036.37,0.0,0.0,23331.922,-1161.7129,796716.44,2500.0,16133.579,205878.9,188245.33,1500.0,0.0,0.0,590837.5,29501.875,0.0,29501.875,0.0,29501.875,796126.94,177902.05,0.0,10343.279,188245.33,0.0,0.0,0.0,0.0,188245.33,0.0,0.0,0.0,0.0,0.0,0.0
88056,2025,1,401219.3,54555.26,47661.78,26849.43,1.524232e+06,1360.0,0.0,31500.0,0.0,10000.0,96678.72,13387.58,1.3960532e+06,325748.88,0.0,0.0,0.0,1.4275532e+06,0.0,387831.74,26849.43,1523774.0,5000.0,26849.43,1092705.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13776.65,0.0,0.0,35808.188,-1785.5352,1.523774e+06,5000.0,26849.432,431068.75,401219.3,3000.0,0.0,0.0,1.0927052e+06,54555.26,0.0,54555.26,0.0,54555.26,1.524232e+06,387831.75,0.0,13387.578,401219.3,0.0,0.0,0.0,0.0,401219.3,0.0,0.0,0.0,0.0,0.0,29009.912109375
88057,2025,1,191604.8,35106.64,33117.32,21806.49,915916.75,0.0,0.0,31500.0,0.0,10000.0,140607.06,2471.04,743809.7,177210.1,0.0,772.24,0.0,775309.7,0.0,189905.99,21806.49,920744.0,5000.0,21806.49,703732.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2985.18,0.0,0.0,50637.953,-2526.7246,920744.0,5000.0,21806.488,217011.28,191604.8,3000.0,600.0,0.0,703732.75,35106.637,0.0,35106.637,0.0,35106.637,915916.75,189905.98,772.2368,2471.0435,191604.8,0.0,0.0,0.0,0.0,191604.8,0.0,0.0,0.0,0.0,0.0,0.0
88058,2025,1,0.0,0.0,0.0,0.0,-542.4,0.0,0.0,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,-542.4,3000.0,86.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-542.39954,3000.0,86.78393,4500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-542.39954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10051.91,0.0
88059,2025,1,8672.6,5240.26,19063.19,9531.6,127909.38,0.0,0.0,31500.0,0.0,6015.47,629.02,0.0,95780.36,11002.53,2200.0,129.92,0.0,127280.36,0.0,11002.53,9531.6,127909.37,5000.0,9531.6,106405.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.64,0.0,0.0,12.0,4.0171,127909.37,5000.0,9531.596,21504.2,8672.604,3000.0,300.0,0.0,106405.17,5240.259,0.0,5240.259,0.0,5240.259,127909.375,11002.527,2329.924,0.0,8672.604,0.0,0.0,0.0,0.0,8672.604,0.0,0.0,0.0,0.0,0.0,0.0
88060,2025,1,0.0,0.0,0.0,0.0,6405.55,0.0,0.0,17750.0,0.0,476.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,1890.53,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890.5302,3000.0,0.0,4500.0,0.0,1500.0,0.0,4515.0195,0.0,0.0,0.0,0.0,0.0,0.0,6405.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4515.01953125
88061,2025,1,83934.7,19592.82,17417.67,8708.84,516713.8,0.0,15613.86,34700.0,0.0,25455.69,14534.86,10135.12,467478.9,33355.73,0.0,0.0,0.0,502178.9,0.0,73799.57,8708.84,489099.94,5000.0,8708.84,393456.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.69,0.0,0.0,2903.6562,-140.5664,489099.94,5000.0,8708.837,95643.54,83934.7,3000.0,0.0,12000.0,393456.4,19592.82,0.0,19592.82,0.0,19592.82,516713.78,73799.58,0.0,10135.124,83934.7,0.0,0.0,0.0,0.0,83934.7,0.0,0.0,0.0,15613.864,18369.252,32503.583984375
