taxsimid,year,state,mstat,page,sage,depx,pwages,psemp,swages,ssemp,dividends,intrec,stcg,ltcg,otherprop,nonprop,pensions,gssi,pui,sui,transfers,rentpaid,proptax,otheritem,childcare,mortgage,scorp,idtl,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,pe_sidecar_year,pe_sidecar_state,pe_sidecar_fiitax,pe_sidecar_siitax,pe_sidecar_fica,pe_sidecar_tfica,pe_sidecar_v10,pe_sidecar_v11,pe_sidecar_v12,pe_sidecar_v13,pe_sidecar_v14,pe_sidecar_v17,pe_sidecar_qbid,pe_sidecar_niit,pe_sidecar_v18,pe_sidecar_v19,pe_sidecar_v22,pe_sidecar_v24,pe_sidecar_v25,pe_sidecar_v26,pe_sidecar_v27,pe_sidecar_v28,pe_sidecar_v29,pe_sidecar_v32,pe_sidecar_v34,pe_sidecar_v35,pe_sidecar_v36,pe_sidecar_srebate,pe_sidecar_v37,pe_sidecar_v38,pe_sidecar_v39,pe_sidecar_v40,pe_sidecar_v42,pe_sidecar_v43,pe_sidecar_v44,pe_sidecar_actc,pe_sidecar_cares,pe_sidecar_frate,pe_sidecar_srate,pe_sidecar_al_agi,pe_sidecar_al_standard_deduction,pe_sidecar_al_itemized_deductions,pe_sidecar_al_deductions,pe_sidecar_al_federal_income_tax_deduction,pe_sidecar_al_personal_exemption,pe_sidecar_al_dependent_exemption,pe_sidecar_al_retirement_exemption,pe_sidecar_al_taxable_income,pe_sidecar_al_income_tax_before_non_refundable_credits,pe_sidecar_al_non_refundable_credits,pe_sidecar_al_income_tax_before_refundable_credits,pe_sidecar_al_refundable_credits,pe_sidecar_al_income_tax,pe_sidecar_adjusted_gross_income,pe_sidecar_income_tax_before_credits,pe_sidecar_income_tax_capped_non_refundable_credits,pe_sidecar_net_investment_income_tax,pe_sidecar_income_tax_before_refundable_credits,pe_sidecar_eitc,pe_sidecar_american_opportunity_credit,pe_sidecar_refundable_ctc,pe_sidecar_income_tax_refundable_credits,pe_sidecar_income_tax,pe_sidecar_recapture_of_investment_credit,pe_sidecar_unreported_payroll_tax,pe_sidecar_qualified_retirement_penalty,pe_sidecar_tax_unit_taxable_social_security,pe_sidecar_tax_unit_social_security,pe_sidecar_taxable_pension_income,pe_agi,pe_exemptions,pe_standard_deduction,pe_itemized_deductions,pe_taxable_income,pe_tax_before_credits,pe_credits,pe_liability,pe_deductions,pe_deductions_status,pe_federal_tax_deduction,pe_federal_tax_deduction_status,pe_exemptions_status,pe_personal_exemption,pe_dependent_exemption,pe_total_ti_deductions,pe_replay_minus_release_al_agi,pe_replay_minus_release_al_taxable_income,pe_replay_minus_release_al_income_tax,pe_ti_floored,pe_unallocated_ti_reduction,pe_unallocated_after_v33,pe_unallocated_after_exemptions,pe_net_tax_reduction,pe_credit_reconciliation_residual,pe_raw_v32,pe_raw_v33,pe_raw_v34,pe_raw_v35,pe_raw_v36,pe_raw_v37,pe_raw_v38,pe_raw_v39,pe_raw_v40,pe_raw_v41,pe_raw_staxbc,pe_raw_siitax,pe_raw_fiitax,pe_raw_niit,pe_raw_v10,pe_raw_v25,pe_raw_actc,pe_raw_srebate,pe_raw_senergy,pe_raw_sctc,pe_raw_sptcr,pe_raw_samt,pe_raw_addmed,pe_fiitax_state0,pe_fiitax_state1_minus_state0,pe_niit_state0,pe_niit_state1_minus_state0,taxsim_agi,taxsim_exemptions,taxsim_standard_deduction,taxsim_itemized_deductions,taxsim_taxable_income,taxsim_tax_before_credits,taxsim_credits,taxsim_liability,taxsim_deductions,taxsim_deductions_status,taxsim_federal_tax_deduction,taxsim_federal_tax_deduction_status,taxsim_exemptions_status,taxsim_ti_floored,taxsim_unallocated_ti_reduction,taxsim_unallocated_after_v33,taxsim_unallocated_after_exemptions,taxsim_net_tax_reduction,taxsim_credit_reconciliation_residual,taxsim_raw_v32,taxsim_raw_v33,taxsim_raw_v34,taxsim_raw_v35,taxsim_raw_v36,taxsim_raw_v37,taxsim_raw_v38,taxsim_raw_v39,taxsim_raw_v40,taxsim_raw_v41,taxsim_raw_staxbc,taxsim_raw_siitax,taxsim_raw_fiitax,taxsim_raw_niit,taxsim_raw_v10,taxsim_raw_v25,taxsim_raw_actc,taxsim_raw_srebate,taxsim_raw_senergy,taxsim_raw_sctc,taxsim_raw_sptcr,taxsim_raw_samt,taxsim_raw_addmed,taxsim_fiitax_state0,taxsim_fiitax_state1_minus_state0,taxsim_niit_state0,taxsim_niit_state1_minus_state0,pe_minus_taxsim_agi,pe_minus_taxsim_exemptions,pe_minus_taxsim_standard_deduction,pe_minus_taxsim_itemized_deductions,pe_minus_taxsim_taxable_income,pe_minus_taxsim_tax_before_credits,pe_minus_taxsim_credits,pe_minus_taxsim_liability,pe_minus_taxsim_deductions,pe_minus_taxsim_federal_tax_deduction,pe_taxsim_liability_band,first_observed_component_difference,axiom_pe_federal_agi,axiom_pe_federal_exemptions,axiom_pe_federal_standard_deduction,axiom_pe_federal_itemized_deductions,axiom_pe_federal_taxable_income,axiom_pe_federal_tax_before_credits,axiom_pe_federal_credits,axiom_pe_federal_liability,axiom_pe_federal_deductions,axiom_pe_federal_federal_tax_deduction,axiom_pe_federal_status,axiom_taxsim_federal_agi,axiom_taxsim_federal_exemptions,axiom_taxsim_federal_standard_deduction,axiom_taxsim_federal_itemized_deductions,axiom_taxsim_federal_taxable_income,axiom_taxsim_federal_tax_before_credits,axiom_taxsim_federal_credits,axiom_taxsim_federal_liability,axiom_taxsim_federal_deductions,axiom_taxsim_federal_federal_tax_deduction,axiom_taxsim_federal_status
88052,2025,1,1,85,0,0,0.0,-24784772.0,0.0,0.0,0.0,0.0,-1521430.75,-438936.84375,0,0,0.0,817.2284644194756,1.1333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,-4117041.0,2,,,,,,,,,,,,2025,1,0.0,0.0,0.0,0.0,-307998.88,1.13,0.0,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,-30862180.0,3000.0,4937948.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30862180.0,3000.0,4937948.5,4939448.5,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-307998.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.22845,0.0,-30862180.0,1500.0,3000.0,4937948.5,0.0,0.0,0.0,0.0,4937948.5,PE_formula_max_std_itemized,0.0,direct_PE_replay,direct_PE_replay,1500.0,0.0,4939448.5,0.0,0.0,0.0,True,-35800128.5,,-35801628.5,0.0,0.0,-30862180.0,,3000.0,4937948.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-307998.875,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,-2280074.3,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,observed_behavior_fit,,unavailable,v33_semantics_unverified,True,-2283074.3,-2284574.3,-2284574.3,0.0,0.0,-2280074.3,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-322705.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28582105.7,0.0,0.0,4937948.5,0.0,0.0,0.0,0.0,4934948.5,,within_1,agi,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
88053,2025,1,1,49,0,0,43684.51953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,2025,1,3113.64,1746.45,6683.73,3341.87,43684.52,0.0,0.0,15750.0,0.0,1994.23,0.0,0.0,27934.52,3113.64,0.0,0.0,0.0,43684.52,0.0,3113.64,3341.87,43684.52,2500.0,3341.87,35729.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.43,0.0,0.0,12.0,4.0175,43684.52,2500.0,3341.8657,7955.508,3113.6423,1500.0,0.0,0.0,35729.01,1746.4506,0.0,1746.4506,0.0,1746.4506,43684.52,3113.6423,0.0,0.0,3113.6423,0.0,0.0,0.0,0.0,3113.6423,0.0,0.0,0.0,0.0,0.0,0.0,43684.52,1500.0,2500.0,3341.8657,35729.01,1746.45,0.0,1746.449951171875,3341.8701171875,PE_formula_max_std_itemized,3113.6423,direct_PE_replay,direct_PE_replay,1500.0,0.0,7955.508,0.0,0.0,0.0006488281248948624,False,4613.639882812495,,3113.6398828124948,4.8828125045474735e-05,4.8828125045474735e-05,43684.52,,2500.0,3341.8701171875,35729.01,0.0,0.0,0.0,0.0,,1746.45,1746.449951171875,3113.639892578125,0.0,43684.51953125,0.0,0.0,0.0,,0.0,,,,3113.639892578125,0.0,0.0,0.0,43684.52,1500.0,2500.0,3341.87,35729.01,1746.45,0.0,1746.45,3341.87,observed_behavior_fit,,unavailable,v33_semantics_unverified,False,4613.639999999992,3113.639999999992,3113.639999999992,0.0,0.0,43684.52,1500.0,2500.0,3341.87,35729.01,0.0,0.0,0.0,0.0,5.0,1746.45,1746.45,3113.64,0.0,43684.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3113.64,0.0,0.0,0.0,0.0,0.0,0.0,-0.00430000000005748,0.0,0.0,0.0,-4.8828125045474735e-05,0.00011718750010913936,,within_1,no_component_gap_over_1,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
88054,2025,1,1,69,0,0,0.0,0.0,0.0,0.0,0.0,40.41845703125,0.0,0.0,0,0,6295.4267578125,37682.40449438202,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,2025,1,0.0,0.0,0.0,0.0,6424.37,0.0,88.52,17750.0,0.0,785.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,335.85,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.8452,3000.0,0.0,4500.0,0.0,1500.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,6424.3696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.524414,37682.406,6295.4267578125,335.85,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,PE_formula_max_std_itemized,0.0,direct_PE_replay,direct_PE_replay,1500.0,0.0,4500.0,-0.004800000000045657,0.0,0.0,True,-2664.15,,-4164.15,0.0,0.0,335.85,,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6424.3701171875,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,335.85,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,observed_behavior_fit,,unavailable,v33_semantics_unverified,True,-2664.15,-4164.15,-4164.15,0.0,0.0,335.85,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6424.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,within_1,no_component_gap_over_1,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
88055,2025,1,1,53,0,0,232786.25,44023.078125,0.0,0.0,28209.28515625,3021.27978515625,0.0,240961.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,247715.5625,2,,,,,,,,,,,,2025,1,188245.31,29501.88,30427.18,16133.58,796126.94,0.0,0.0,15750.0,0.0,10000.0,58229.82,10343.28,722147.1,128089.15,0.0,0.0,0.0,737897.1,0.0,177902.05,16133.58,796716.44,2500.0,16133.58,590837.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4036.37,0.0,0.0,23331.922,-1161.7129,796716.44,2500.0,16133.579,205878.9,188245.33,1500.0,0.0,0.0,590837.5,29501.875,0.0,29501.875,0.0,29501.875,796126.94,177902.05,0.0,10343.279,188245.33,0.0,0.0,0.0,0.0,188245.33,0.0,0.0,0.0,0.0,0.0,0.0,796716.44,1500.0,2500.0,16133.579,590837.5,29501.88,0.0,29501.880859375,16133.580078125,PE_formula_max_std_itemized,188245.33,direct_PE_replay,direct_PE_replay,1500.0,0.0,205878.9,0.0,0.0,-0.005859375,False,189745.35992187494,,188245.35992187494,-0.0008593749989813659,-0.0008593749989813659,796716.44,,2500.0,16133.580078125,590837.5,0.0,0.0,0.0,0.0,,29501.88,29501.880859375,188245.3125,10343.2802734375,796126.9375,0.0,0.0,0.0,,0.0,,,,188245.3125,0.0,10343.2802734375,0.0,796716.46,1500.0,2500.0,16133.58,580545.97,28987.3,0.0,28987.3,16133.58,observed_behavior_fit,,unavailable,v33_semantics_unverified,False,200036.91000000003,198536.91000000003,198536.91000000003,0.0,0.0,796716.46,1500.0,2500.0,16133.58,580545.97,0.0,0.0,0.0,0.0,5.0,28987.3,28987.3,197357.91,19508.31,796126.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.97,197606.06,-248.14999999999418,19756.47,-248.15999999999985,-0.02000000001862645,0.0,0.0,-0.0010000000002037268,10291.530000000028,514.5800000000017,0.0,514.5808593750007,7.812500007275958e-05,,over_15,taxable_income,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
88056,2025,1,2,62,61,0,652506.1875,67352.59375,5657.69482421875,0.0,97214.0078125,41890.33203125,-10.945213317871094,213211.28125,0,0,29009.912109375,0.0,1360.0,0.0,0,0.0,0.0,0,0.0,0.0,416942.875,2,,,,,,,,,,,,2025,1,401219.3,54555.26,47661.78,26849.43,1524232.0,1360.0,0.0,31500.0,0.0,10000.0,96678.72,13387.58,1396053.2,325748.88,0.0,0.0,0.0,1427553.2,0.0,387831.74,26849.43,1523774.0,5000.0,26849.43,1092705.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13776.65,0.0,0.0,35808.188,-1785.5352,1523774.0,5000.0,26849.432,431068.75,401219.3,3000.0,0.0,0.0,1092705.2,54555.26,0.0,54555.26,0.0,54555.26,1524232.0,387831.75,0.0,13387.578,401219.3,0.0,0.0,0.0,0.0,401219.3,0.0,0.0,0.0,0.0,0.0,29009.912109375,1523774.0,3000.0,5000.0,26849.432,1092705.25,54555.26,0.0,54555.26171875,26849.4296875,PE_formula_max_std_itemized,401219.3,direct_PE_replay,direct_PE_replay,3000.0,0.0,431068.75,0.0,-0.05000000004656613,-0.0017187499979627319,False,404219.3203125,,401219.3203125,-0.0017187499979627319,-0.0017187499979627319,1523774.0,,5000.0,26849.4296875,1092705.25,0.0,0.0,0.0,0.0,,54555.26,54555.26171875,401219.3125,13387.580078125,1524232.0,0.0,0.0,0.0,,0.0,,,,401219.3125,0.0,13387.580078125,0.0,1523773.94,3000.0,5000.0,26849.43,1075249.28,53682.46,0.0,53682.46,26849.43,observed_behavior_fit,,unavailable,v33_semantics_unverified,False,421675.23,418675.23,418675.23,0.0,0.0,1523773.94,3000.0,5000.0,26849.43,1075249.28,0.0,0.0,0.0,0.0,5.0,53682.46,53682.46,416871.42,29039.63,1524232.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4233.28,417063.2,-191.78000000002794,29231.41,-191.77999999999884,0.060000000055879354,0.0,0.0,0.0020000000004074536,17455.969999999972,872.8000000000029,0.0,872.8017187500009,-0.0003125000002910383,,over_15,taxable_income,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
88057,2025,1,2,28,27,2,143992.859375,211828.09375,3861.18408203125,0.0,7079.53369140625,1547.9935302734375,0.0,56399.9296875,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,20787.848101265823,0.0,496034.40625,2,4.0,1.0,,,,,,,,,,2025,1,191604.8,35106.64,33117.32,21806.49,915916.75,0.0,0.0,31500.0,0.0,10000.0,140607.06,2471.04,743809.7,177210.1,0.0,772.24,0.0,775309.7,0.0,189905.99,21806.49,920744.0,5000.0,21806.49,703732.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2985.18,0.0,0.0,50637.953,-2526.7246,920744.0,5000.0,21806.488,217011.28,191604.8,3000.0,600.0,0.0,703732.75,35106.637,0.0,35106.637,0.0,35106.637,915916.75,189905.98,772.2368,2471.0435,191604.8,0.0,0.0,0.0,0.0,191604.8,0.0,0.0,0.0,0.0,0.0,0.0,920744.0,3600.0,5000.0,21806.488,703732.75,35106.64,0.0,35106.640625,21806.490234375,PE_formula_max_std_itemized,191604.8,direct_PE_replay,direct_PE_replay,3000.0,600.0,217011.28,0.0,0.0,-0.0036249999975552782,False,195204.759765625,,191604.759765625,-0.0006250000005820766,-0.0006250000005820766,920744.0,,5000.0,21806.490234375,703732.75,0.0,0.0,0.0,0.0,,35106.64,35106.640625,191604.796875,2471.0400390625,915916.75,0.0,0.0,0.0,,0.0,,,,191604.796875,0.0,2471.0400390625,0.0,920744.0,3600.0,5000.0,21806.49,674689.58,33654.48,0.0,33654.48,21806.49,observed_behavior_fit,,unavailable,v33_semantics_unverified,False,224247.93000000005,220647.93000000005,220647.93000000005,0.0,0.0,920744.0,3600.0,5000.0,21806.49,674689.58,0.0,0.0,0.0,0.0,5.0,33654.48,33654.48,209793.57,21087.57,915916.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.3,210026.35,-232.77999999999884,21320.35,-232.77999999999884,0.0,0.0,0.0,-0.0020000000004074536,29043.170000000042,1452.1599999999962,0.0,1452.1606249999968,0.00023437499839928932,,over_15,taxable_income,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
88058,2025,1,1,66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-433.9196472167969,-108.47991180419922,0,0,0.0,10051.91011235955,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,2025,1,0.0,0.0,0.0,0.0,-542.4,0.0,0.0,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,-542.4,3000.0,86.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-542.39954,3000.0,86.78393,4500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-542.39954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10051.91,0.0,-542.4,1500.0,3000.0,86.78393,0.0,0.0,0.0,0.0,3000.0,PE_formula_max_std_itemized,0.0,direct_PE_replay,direct_PE_replay,1500.0,0.0,4500.0,0.00045999999997548,0.0,0.0,True,-3542.4,,-5042.4,0.0,0.0,-542.4,,3000.0,86.77999877929688,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-542.4000244140625,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,-542.4,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,observed_behavior_fit,,unavailable,v33_semantics_unverified,True,-3542.4,-5042.4,-5042.4,0.0,0.0,-542.4,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-542.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.78393,0.0,0.0,0.0,0.0,0.0,,within_1,no_component_gap_over_1,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
88059,2025,1,2,34,32,1,64029.31640625,0.0,60566.703124999985,0.0,117.63349914550744,50.633449077606194,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,649.620253164557,0.0,3145.084228515598,2,4.0,,,,,,,,,,,2025,1,8672.6,5240.26,19063.19,9531.6,127909.38,0.0,0.0,31500.0,0.0,6015.47,629.02,0.0,95780.36,11002.53,2200.0,129.92,0.0,127280.36,0.0,11002.53,9531.6,127909.37,5000.0,9531.6,106405.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.64,0.0,0.0,12.0,4.0171,127909.37,5000.0,9531.596,21504.2,8672.604,3000.0,300.0,0.0,106405.17,5240.259,0.0,5240.259,0.0,5240.259,127909.375,11002.527,2329.924,0.0,8672.604,0.0,0.0,0.0,0.0,8672.604,0.0,0.0,0.0,0.0,0.0,0.0,127909.37,3300.0,5000.0,9531.596,106405.17,5240.26,0.0,5240.259765625,9531.599609375,PE_formula_max_std_itemized,8672.604,direct_PE_replay,direct_PE_replay,3000.0,300.0,21504.2,0.0,0.0,-0.0007656249999854481,False,11972.600390624997,,8672.600390624997,0.00023437500021827873,0.00023437500021827873,127909.37,,5000.0,9531.599609375,106405.17,0.0,0.0,0.0,0.0,,5240.26,5240.259765625,8672.599609375,0.0,127909.3828125,0.0,0.0,0.0,,0.0,,,,8672.599609375,0.0,0.0,0.0,127909.37,3300.0,5000.0,9531.6,106275.25,5233.76,0.0,5233.76,9531.6,observed_behavior_fit,,unavailable,v33_semantics_unverified,False,12102.51999999999,8802.51999999999,8802.51999999999,0.0,0.0,127909.37,3300.0,5000.0,9531.6,106275.25,0.0,0.0,0.0,0.0,5.0,5233.76,5233.76,8672.6,0.0,127909.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8672.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.004000000000814907,129.91999999999825,6.5,0.0,6.499765624999782,-0.0003906250003637979,,over_1_through_15,taxable_income,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
88060,2025,1,1,68,0,0,0.0,0.0,0.0,0.0,1567.1824951171875,323.34765625,0.0,0.0,0,0,4515.01953125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,2025,1,0.0,0.0,0.0,0.0,6405.55,0.0,0.0,17750.0,0.0,476.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,1890.53,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890.5302,3000.0,0.0,4500.0,0.0,1500.0,0.0,4515.0195,0.0,0.0,0.0,0.0,0.0,0.0,6405.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4515.01953125,1890.53,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,PE_formula_max_std_itemized,0.0,direct_PE_replay,direct_PE_replay,1500.0,0.0,4500.0,0.0001999999999497959,0.0,0.0,True,-1109.47,,-2609.4700000000003,0.0,0.0,1890.53,,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6405.5498046875,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,1890.53,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,observed_behavior_fit,,unavailable,v33_semantics_unverified,True,-1109.47,-2609.4700000000003,-2609.4700000000003,0.0,0.0,1890.53,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6405.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,within_1,no_component_gap_over_1,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
88061,2025,1,2,71,73,0,0.0,0.0,113841.0078125,0.0,20009.486328125,12455.405273437498,-5.799521446228027,249621.93749999927,0,0,32503.583984374884,18369.252808988764,0.0,0.0,0,0.0,0.0,0,0.0,0.0,72674.30468749987,2,,,,,,,,,,,,2025,1,83934.7,19592.82,17417.67,8708.84,516713.8,0.0,15613.86,34700.0,0.0,25455.69,14534.86,10135.12,467478.9,33355.73,0.0,0.0,0.0,502178.9,0.0,73799.57,8708.84,489099.94,5000.0,8708.84,393456.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.69,0.0,0.0,2903.6562,-140.5664,489099.94,5000.0,8708.837,95643.54,83934.7,3000.0,0.0,12000.0,393456.4,19592.82,0.0,19592.82,0.0,19592.82,516713.78,73799.58,0.0,10135.124,83934.7,0.0,0.0,0.0,0.0,83934.7,0.0,0.0,0.0,15613.864,18369.252,32503.583984375,489099.94,3000.0,5000.0,8708.837,393456.41,19592.82,0.0,19592.8203125,8708.83984375,PE_formula_max_std_itemized,83934.7,direct_PE_replay,direct_PE_replay,3000.0,0.0,95643.54,0.0,-0.009999999951105565,-0.0003125000002910383,False,86934.69015625003,,83934.69015625003,-0.0003125000002910383,-0.0003125000002910383,489099.94,,5000.0,8708.83984375,393456.41,0.0,0.0,0.0,0.0,,19592.82,19592.8203125,83934.703125,10135.1201171875,516713.8125,0.0,0.0,0.0,,0.0,,,,83934.703125,0.0,10135.1201171875,0.0,489099.93,3000.0,5000.0,8708.84,393456.39,19592.82,0.0,19592.82,8708.84,observed_behavior_fit,,unavailable,v33_semantics_unverified,False,86934.69999999995,83934.69999999995,83934.69999999995,0.0,0.0,489099.93,3000.0,5000.0,8708.84,393456.39,0.0,0.0,0.0,0.0,5.0,19592.82,19592.82,83934.7,10135.12,516713.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83934.7,0.0,10135.12,0.0,0.010000000009313226,0.0,0.0,-0.0030000000006111804,0.01999999996041879,0.0,0.0,0.0003125000002910383,-0.00015625000014551915,,within_1,no_component_gap_over_1,,,,,,,,,,,pending_module,,,,,,,,,,,pending_module
